# All FUN_0066f3b0 calls in eng_second schedule-getter 0x0055f340
# 134/134 fully resolved
# call     call_va  round  day  mon  dayoff  flag  type  year      prize
  70  0x00560f62      3   28    7       ?     ?     2  eax       ?
  71  0x00560f8c      4    2    8       ?     5     1  ecx       ?
  72  0x00560fb6      5    9    8       ?     5     1  edx       ?
  73  0x00560fe0      6   13    8       ?     2     2  eax       ?
  74  0x0056100a      7   16    8       ?     5     1  ecx       ?
  75  0x00561034      8   23    8       ?     5     1  edx       ?
  76  0x0056105e      9   30    8       ?     5     1  eax       ?
  77  0x00561088     10    7    9       ?     5     1  ecx       ?
  78  0x005610b2     11   14    9       ?     5     1  edx       ?
  79  0x005610dc     12   17    9       ?     1     2  eax       ?
  80  0x00561106     13   21    9       ?     5     1  ecx       ?
  81  0x00561130     14   24    9       ?     1     2  edx       ?
  82  0x0056115a     15   28    9       ?     5     1  eax       ?
  83  0x00561184     16    4   10       ?     5     1  ecx       ?
  84  0x005611ae     17   11   10       ?     5     1  edx       ?
  85  0x005611d8     18   18   10       ?     5     1  eax       ?
  86  0x00561202     19   25   10       ?     5     1  ecx       ?
  87  0x0056122c     20    2   11       ?     5     1  edx       ?
  88  0x00561256     21    9   11       ?     5     1  eax       ?
  89  0x00561280     22   16   11       ?     5     1  ecx       ?
  90  0x005612df     23   20   11       ?    -1     1  edx       ?
  91  0x00561309     24   27   11       ?    -1     1  eax       ?
  92  0x00561333     25   30   11       ?    -1     2  ecx       ?
  93  0x00561371     23   21   11       ?    -1     1  eax       ?
  94  0x0056139b     24   26   11       ?    -1     1  ecx       ?
  95  0x005613c5     25   28   11       ?    -1     1  edx       ?
  96  0x00561403     23   22   11       ?    -1     1  ecx       ?
  97  0x0056142d     24   26   11       ?    -1     1  edx       ?
  98  0x00561457     25   29   11       ?    -1     1  eax       ?
  99  0x00561495     23   23   11       ?    -1     1  edx       ?
 100  0x005614bf     24   26   11       ?    -1     1  eax       ?
 101  0x005614e9     25   30   11       ?    -1     1  ecx       ?
 102  0x00561527     23   21   11       ?    -1     2  eax       ?
 103  0x00561551     24   26   11       ?    -1     1  ecx       ?
 104  0x0056157b     25   31   11       ?    -1     1  edx       ?
 105  0x005615b9     23   22   11       ?    -1     2  ecx       ?
 106  0x005615e3     24   26   11       ?    -1     1  edx       ?
 107  0x00561621     23   26   11       ?    -1     1  edx       ?
 108  0x0056164b     24   28   11       ?    -1     2  eax       ?
 109  0x00561675     25    2    ?       1    -1     1  ecx       ?
 110  0x0056169f     26    5    ?       1    -1     2  edx       ?
 111  0x00561727     23   26   11       ?     5     1  ecx       ?
 112  0x00561750     24   28   11       ?     ?     2  edx       ?
 113  0x0056177a     25    2    ?       1    -1     1  eax       ?
 114  0x005617a4     26    5    ?       1    -1     2  ecx       ?
 115  0x005617d1     27   13    ?       1     5     1  edx       ?
 116  0x005617fb     28   20    ?       1     5     1  eax       ?
 117  0x00561826     29    3    1       1     5     1  ecx       ?
 118  0x00561851     30   10    1       1     5     1  edx       ?
 119  0x0056187c     31   17    1       1     5     1  eax       ?
 120  0x005618a7     32   20    1       1     1     2  ecx       ?
 121  0x005618d2     33   24    1       1     5     1  edx       ?
 122  0x005618fd     34    3    2       1     5     1  eax       ?
 123  0x00561928     35    7    2       1     2     2  ecx       ?
 124  0x00561953     36   10    2       1     5     1  edx       ?
 125  0x0056197e     37   17    2       1     1     2  eax       ?
 126  0x005619a9     38   24    2       1     5     1  ecx       ?
 127  0x005619d4     39   31    2       1     5     1  edx       ?
 128  0x005619ff     40    7    3       1     5     1  eax       ?
 129  0x00561a2a     41   14    3       1     5     1  ecx       ?
 130  0x00561a54     42   16    3       1     ?     2  edx       ?
 131  0x00561a7f     43   21    3       1     5     1  eax       ?
 132  0x00561aaa     44   28    3       1     5     1  ecx       ?
 133  0x00561ad5     45    6    4       1     6     1  edx       ?
