      meta  ready=True hooks=8
      line  from=0x1cfe43 x0=43 y0=97 x1=43 y1=57 style=2 colour=9
      line  from=0x1cfdfd x0=5 y0=55 x1=44 y1=55 style=2 colour=23
      line  from=0x1cfe17 x0=5 y0=55 x1=5 y1=98 style=2 colour=23
      line  from=0x1cfe30 x0=44 y0=98 x1=6 y1=98 style=2 colour=4
      line  from=0x1cfe43 x0=44 y0=98 x1=44 y1=56 style=2 colour=4
   wrapped  from=0x1d810d x0=5 y0=55 x1=44 y1=98 style=c font=1 colour=29596 text=<<<
     glyph  from=0x1d0a92 x=10 y=69 font=1 colour=29596 text=<<<
     panel  from=0x1d7c42 x0=46 y0=55 x1=85 y1=98 style=1021 colour=0 pattern=29596
      line  from=0x1cfdfd x0=47 y0=56 x1=84 y1=56 style=2 colour=18
      line  from=0x1cfe17 x0=47 y0=56 x1=47 y1=97 style=2 colour=18
      line  from=0x1cfe30 x0=84 y0=97 x1=48 y1=97 style=2 colour=9
      line  from=0x1cfe43 x0=84 y0=97 x1=84 y1=57 style=2 colour=9
      line  from=0x1cfdfd x0=46 y0=55 x1=85 y1=55 style=2 colour=23
      line  from=0x1cfe17 x0=46 y0=55 x1=46 y1=98 style=2 colour=23
      line  from=0x1cfe30 x0=85 y0=98 x1=47 y1=98 style=2 colour=4
      line  from=0x1cfe43 x0=85 y0=98 x1=85 y1=56 style=2 colour=4
   wrapped  from=0x1d810d x0=46 y0=55 x1=85 y1=98 style=c font=1 colour=29596 text=>>>
     glyph  from=0x1d0a92 x=51 y=69 font=1 colour=29596 text=>>>
     panel  from=0x3222 x0=150 y0=217 x1=740 y1=277 style=22 colour=16 pattern=0
    darken  from=0x1cf645 x0=150 y0=217 x1=740 y1=277
      line  from=0x1cfdfd x0=151 y0=218 x1=739 y1=218 style=2 colour=21
      line  from=0x1cfe17 x0=151 y0=218 x1=151 y1=276 style=2 colour=21
      line  from=0x1cfe30 x0=739 y0=276 x1=152 y1=276 style=2 colour=10
      line  from=0x1cfe43 x0=739 y0=276 x1=739 y1=219 style=2 colour=10
      line  from=0x1cfdfd x0=150 y0=217 x1=740 y1=217 style=2 colour=26
      line  from=0x1cfe17 x0=150 y0=217 x1=150 y1=277 style=2 colour=26
      line  from=0x1cfe30 x0=740 y0=277 x1=151 y1=277 style=2 colour=5
      line  from=0x1cfe43 x0=740 y0=277 x1=740 y1=218 style=2 colour=5
     panel  from=0x1d7c42 x0=152 y0=219 x1=374 y1=275 style=1 colour=0 pattern=29596
   wrapped  from=0x1d810d x0=152 y0=219 x1=374 y1=275 style=1 font=3 colour=29596 text=   First Name
     glyph  from=0x1d0a92 x=152 y=237 font=3 colour=29596 text=   First Name
     panel  from=0x1d7c42 x0=376 y0=219 x1=402 y1=275 style=1 colour=0 pattern=29596
   wrapped  from=0x1d810d x0=376 y0=219 x1=402 y1=275 style=c font=3 colour=29596 text=:
     glyph  from=0x1d0a92 x=387 y=237 font=3 colour=29596 text=:
     panel  from=0x1d7c42 x0=404 y0=219 x1=738 y1=275 style=1 colour=0 pattern=29596
   wrapped  from=0x1d810d x0=404 y0=219 x1=738 y1=275 style=1 font=3 colour=29596 text=
     glyph  from=0x1d0a92 x=404 y=237 font=3 colour=29596 text=
      line  from=0x1cf1f4 x0=404 y0=237 x1=404 y1=257 style=2 colour=29596
     panel  from=0x3222 x0=150 y0=279 x1=740 y1=339 style=22 colour=16 pattern=0
    darken  from=0x1cf645 x0=150 y0=279 x1=740 y1=339
      line  from=0x1cfdfd x0=151 y0=280 x1=739 y1=280 style=2 colour=21
      line  from=0x1cfe17 x0=151 y0=280 x1=151 y1=338 style=2 colour=21
      line  from=0x1cfe30 x0=739 y0=338 x1=152 y1=338 style=2 colour=10
      line  from=0x1cfe43 x0=739 y0=338 x1=739 y1=281 style=2 colour=10
      line  from=0x1cfdfd x0=150 y0=279 x1=740 y1=279 style=2 colour=26
      line  from=0x1cfe17 x0=150 y0=279 x1=150 y1=339 style=2 colour=26
      line  from=0x1cfe30 x0=740 y0=339 x1=151 y1=339 style=2 colour=5
      line  from=0x1cfe43 x0=740 y0=339 x1=740 y1=280 style=2 colour=5
     panel  from=0x1d7c42 x0=152 y0=281 x1=374 y1=337 style=1 colour=0 pattern=29596
   wrapped  from=0x1d810d x0=152 y0=281 x1=374 y1=337 style=1 font=3 colour=29596 text=   Second Name
     glyph  from=0x1d0a92 x=152 y=299 font=3 colour=29596 text=   Second Name
     panel  from=0x1d7c42 x0=376 y0=281 x1=402 y1=337 style=1 colour=0 pattern=29596
   wrapped  from=0x1d810d x0=376 y0=281 x1=402 y1=337 style=c font=3 colour=29596 text=:
     glyph  from=0x1d0a92 x=387 y=299 font=3 colour=29596 text=:
     panel  from=0x1d7c42 x0=404 y0=281 x1=738 y1=337 style=1 colour=0 pattern=29596
   wrapped  from=0x1d810d x0=404 y0=281 x1=738 y1=337 style=1 font=3 colour=29596 text=
     panel  from=0x3222 x0=150 y0=341 x1=740 y1=401 style=22 colour=16 pattern=0
    darken  from=0x1cf645 x0=150 y0=341 x1=740 y1=401
      line  from=0x1cfdfd x0=151 y0=342 x1=739 y1=342 style=2 colour=21
      line  from=0x1cfe17 x0=151 y0=342 x1=151 y1=400 style=2 colour=21
      line  from=0x1cfe30 x0=739 y0=400 x1=152 y1=400 style=2 colour=10
      line  from=0x1cfe43 x0=739 y0=400 x1=739 y1=343 style=2 colour=10
      line  from=0x1cfdfd x0=150 y0=341 x1=740 y1=341 style=2 colour=26
      line  from=0x1cfe17 x0=150 y0=341 x1=150 y1=401 style=2 colour=26
      line  from=0x1cfe30 x0=740 y0=401 x1=151 y1=401 style=2 colour=5
      line  from=0x1cfe43 x0=740 y0=401 x1=740 y1=342 style=2 colour=5
     panel  from=0x1d7c42 x0=152 y0=343 x1=374 y1=399 style=1 colour=0 pattern=29596
   wrapped  from=0x1d810d x0=152 y0=343 x1=374 y1=399 style=1 font=3 colour=29596 text=   Password (Optional)
     glyph  from=0x1d0a92 x=152 y=361 font=3 colour=29596 text=   Password (Optional)
     panel  from=0x1d7c42 x0=376 y0=343 x1=402 y1=399 style=1 colour=0 pattern=29596
   wrapped  from=0x1d810d x0=376 y0=343 x1=402 y1=399 style=c font=3 colour=29596 text=:
     glyph  from=0x1d0a92 x=387 y=361 font=3 colour=29596 text=:
     panel  from=0x1d7c42 x0=404 y0=343 x1=738 y1=399 style=1 colour=0 pattern=29596
   wrapped  from=0x1d810d x0=404 y0=343 x1=738 y1=399 style=81 font=3 colour=29596 text=
     panel  from=0x3222 x0=150 y0=403 x1=740 y1=463 style=22 colour=16 pattern=0
    darken  from=0x1cf645 x0=150 y0=403 x1=740 y1=463
      line  from=0x1cfdfd x0=151 y0=404 x1=739 y1=404 style=2 colour=21
      line  from=0x1cfe17 x0=151 y0=404 x1=151 y1=462 style=2 colour=21
      line  from=0x1cfe30 x0=739 y0=462 x1=152 y1=462 style=2 colour=10
      line  from=0x1cfe43 x0=739 y0=462 x1=739 y1=405 style=2 colour=10
      line  from=0x1cfdfd x0=150 y0=403 x1=740 y1=403 style=2 colour=26
      line  from=0x1cfe17 x0=150 y0=403 x1=150 y1=463 style=2 colour=26
      line  from=0x1cfe30 x0=740 y0=463 x1=151 y1=463 style=2 colour=5
      line  from=0x1cfe43 x0=740 y0=463 x1=740 y1=404 style=2 colour=5
     panel  from=0x1d7c42 x0=152 y0=405 x1=374 y1=461 style=1 colour=0 pattern=16912
   wrapped  from=0x1d810d x0=152 y0=405 x1=374 y1=461 style=1 font=3 colour=16912 text=   Re-Type
     glyph  from=0x1d0a92 x=152 y=423 font=3 colour=16912 text=   Re-Type
     panel  from=0x1d7c42 x0=376 y0=405 x1=402 y1=461 style=1 colour=0 pattern=16912
   wrapped  from=0x1d810d x0=376 y0=405 x1=402 y1=461 style=c font=3 colour=16912 text=:
     glyph  from=0x1d0a92 x=387 y=423 font=3 colour=16912 text=:
     panel  from=0x3222 x0=100 y0=555 x1=790 y1=590 style=1 colour=0 pattern=0
     panel  from=0x1d7c42 x0=100 y0=555 x1=617 y1=590 style=30 colour=16912 pattern=29596
      rect  from=0x1cf673 x0=100 y0=555 x1=617 y1=590 style=4 colour=16912
      line  from=0x1cd856 x0=100 y0=555 x1=617 y1=555 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=556 x1=617 y1=556 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=557 x1=617 y1=557 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=558 x1=617 y1=558 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=559 x1=617 y1=559 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=560 x1=617 y1=560 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=561 x1=617 y1=561 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=562 x1=617 y1=562 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=563 x1=617 y1=563 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=564 x1=617 y1=564 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=565 x1=617 y1=565 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=566 x1=617 y1=566 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=567 x1=617 y1=567 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=568 x1=617 y1=568 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=569 x1=617 y1=569 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=570 x1=617 y1=570 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=571 x1=617 y1=571 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=572 x1=617 y1=572 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=573 x1=617 y1=573 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=574 x1=617 y1=574 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=575 x1=617 y1=575 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=576 x1=617 y1=576 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=577 x1=617 y1=577 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=578 x1=617 y1=578 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=579 x1=617 y1=579 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=580 x1=617 y1=580 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=581 x1=617 y1=581 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=582 x1=617 y1=582 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=583 x1=617 y1=583 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=584 x1=617 y1=584 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=585 x1=617 y1=585 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=586 x1=617 y1=586 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=587 x1=617 y1=587 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=588 x1=617 y1=588 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=589 x1=617 y1=589 style=2 colour=16912
      line  from=0x1cd856 x0=100 y0=590 x1=617 y1=590 style=2 colour=16912
      line  from=0x1cfdfd x0=101 y0=556 x1=616 y1=556 style=2 colour=22197
      line  from=0x1cfe17 x0=101 y0=556 x1=101 y1=589 style=2 colour=22197
      line  from=0x1cfe30 x0=616 y0=589 x1=102 y1=589 style=2 colour=11594
      line  from=0x1cfe43 x0=616 y0=589 x1=616 y1=557 style=2 colour=11594
      line  from=0x1cfdfd x0=100 y0=555 x1=617 y1=555 style=2 colour=28538
      line  from=0x1cfe17 x0=100 y0=555 x1=100 y1=590 style=2 colour=28538
      line  from=0x1cfe30 x0=617 y0=590 x1=101 y1=590 style=2 colour=5285
      line  from=0x1cfe43 x0=617 y0=590 x1=617 y1=556 style=2 colour=5285
   wrapped  from=0x1d810d x0=100 y0=555 x1=617 y1=590 style=c font=3 colour=29596 text=Cancel
     glyph  from=0x1d0a92 x=330 y=562 font=3 colour=29596 text=Cancel
     panel  from=0x1d7c42 x0=619 y0=555 x1=790 y1=590 style=30 colour=16912 pattern=29596
      rect  from=0x1cf673 x0=619 y0=555 x1=790 y1=590 style=4 colour=16912
      line  from=0x1cd856 x0=619 y0=555 x1=790 y1=555 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=556 x1=790 y1=556 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=557 x1=790 y1=557 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=558 x1=790 y1=558 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=559 x1=790 y1=559 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=560 x1=790 y1=560 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=561 x1=790 y1=561 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=562 x1=790 y1=562 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=563 x1=790 y1=563 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=564 x1=790 y1=564 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=565 x1=790 y1=565 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=566 x1=790 y1=566 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=567 x1=790 y1=567 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=568 x1=790 y1=568 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=569 x1=790 y1=569 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=570 x1=790 y1=570 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=571 x1=790 y1=571 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=572 x1=790 y1=572 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=573 x1=790 y1=573 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=574 x1=790 y1=574 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=575 x1=790 y1=575 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=576 x1=790 y1=576 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=577 x1=790 y1=577 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=578 x1=790 y1=578 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=579 x1=790 y1=579 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=580 x1=790 y1=580 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=581 x1=790 y1=581 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=582 x1=790 y1=582 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=583 x1=790 y1=583 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=584 x1=790 y1=584 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=585 x1=790 y1=585 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=586 x1=790 y1=586 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=587 x1=790 y1=587 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=588 x1=790 y1=588 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=589 x1=790 y1=589 style=2 colour=16912
      line  from=0x1cd856 x0=619 y0=590 x1=790 y1=590 style=2 colour=16912
      line  from=0x1cfdfd x0=620 y0=556 x1=789 y1=556 style=2 colour=22197
      line  from=0x1cfe17 x0=620 y0=556 x1=620 y1=589 style=2 colour=22197
      line  from=0x1cfe30 x0=789 y0=589 x1=621 y1=589 style=2 colour=11594
      line  from=0x1cfe43 x0=789 y0=589 x1=789 y1=557 style=2 colour=11594
      line  from=0x1cfdfd x0=619 y0=555 x1=790 y1=555 style=2 colour=28538
      line  from=0x1cfe17 x0=619 y0=555 x1=619 y1=590 style=2 colour=28538
      line  from=0x1cfe30 x0=790 y0=590 x1=620 y1=590 style=2 colour=5285
      line  from=0x1cfe43 x0=790 y0=590 x1=790 y1=556 style=2 colour=5285
   wrapped  from=0x1d810d x0=619 y0=555 x1=790 y1=590 style=c font=3 colour=29596 text=Next
     glyph  from=0x1d0a92 x=685 y=562 font=3 colour=29596 text=Next
     panel  from=0x1d7c42 x0=100 y0=10 x1=790 y1=70 style=30 colour=31744 pattern=29596
      rect  from=0x1cf673 x0=100 y0=10 x1=790 y1=70 style=4 colour=31744
      line  from=0x1cd856 x0=100 y0=10 x1=790 y1=10 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=11 x1=790 y1=11 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=12 x1=790 y1=12 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=13 x1=790 y1=13 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=14 x1=790 y1=14 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=15 x1=790 y1=15 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=16 x1=790 y1=16 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=17 x1=790 y1=17 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=18 x1=790 y1=18 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=19 x1=790 y1=19 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=20 x1=790 y1=20 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=21 x1=790 y1=21 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=22 x1=790 y1=22 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=23 x1=790 y1=23 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=24 x1=790 y1=24 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=25 x1=790 y1=25 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=26 x1=790 y1=26 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=27 x1=790 y1=27 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=28 x1=790 y1=28 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=29 x1=790 y1=29 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=30 x1=790 y1=30 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=31 x1=790 y1=31 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=32 x1=790 y1=32 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=33 x1=790 y1=33 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=34 x1=790 y1=34 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=35 x1=790 y1=35 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=36 x1=790 y1=36 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=37 x1=790 y1=37 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=38 x1=790 y1=38 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=39 x1=790 y1=39 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=40 x1=790 y1=40 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=41 x1=790 y1=41 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=42 x1=790 y1=42 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=43 x1=790 y1=43 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=44 x1=790 y1=44 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=45 x1=790 y1=45 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=46 x1=790 y1=46 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=47 x1=790 y1=47 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=48 x1=790 y1=48 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=49 x1=790 y1=49 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=50 x1=790 y1=50 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=51 x1=790 y1=51 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=52 x1=790 y1=52 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=53 x1=790 y1=53 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=54 x1=790 y1=54 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=55 x1=790 y1=55 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=56 x1=790 y1=56 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=57 x1=790 y1=57 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=58 x1=790 y1=58 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=59 x1=790 y1=59 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=60 x1=790 y1=60 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=61 x1=790 y1=61 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=62 x1=790 y1=62 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=63 x1=790 y1=63 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=64 x1=790 y1=64 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=65 x1=790 y1=65 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=66 x1=790 y1=66 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=67 x1=790 y1=67 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=68 x1=790 y1=68 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=69 x1=790 y1=69 style=2 colour=31744
      line  from=0x1cd856 x0=100 y0=70 x1=790 y1=70 style=2 colour=31744
      line  from=0x1cfdfd x0=103 y0=13 x1=787 y1=13 style=2 colour=31744
      line  from=0x1cfe17 x0=103 y0=13 x1=103 y1=67 style=2 colour=31744
      line  from=0x1cfe30 x0=787 y0=67 x1=104 y1=67 style=2 colour=26624
      line  from=0x1cfe43 x0=787 y0=67 x1=787 y1=14 style=2 colour=26624
      line  from=0x1cfdfd x0=102 y0=12 x1=788 y1=12 style=2 colour=31744
      line  from=0x1cfe17 x0=102 y0=12 x1=102 y1=68 style=2 colour=31744
      line  from=0x1cfe30 x0=788 y0=68 x1=103 y1=68 style=2 colour=21504
      line  from=0x1cfe43 x0=788 y0=68 x1=788 y1=13 style=2 colour=21504
      line  from=0x1cfdfd x0=101 y0=11 x1=789 y1=11 style=2 colour=31744
